CHAOS-6-x9_core Gauss coefficients for 2019.7002
  1  0     -29406.012950.6          0.000000.6
  1  1      -1453.317981.6       4660.542094.6
  2  0      -2496.374406.6          0.000000.6
  2  1       2983.270604.6      -2983.393146.6
  2  2       1677.162727.6       -727.971532.6
  3  0       1362.710645.6          0.000000.6
  3  1      -2379.124326.6        -83.798449.6
  3  2       1235.248041.6        242.300336.6
  3  3        529.068039.6       -543.298205.6
  4  0        903.619068.6          0.000000.6
  4  1        809.870270.6        281.806919.6
  4  2         88.097448.6       -160.252719.6
  4  3       -311.102539.6        198.505195.6
  4  4         49.446569.6       -348.427679.6
  5  0       -234.286939.6          0.000000.6
  5  1        363.113974.6         47.482313.6
  5  2        187.948838.6        207.591817.6
  5  3       -140.741644.6       -121.058859.6
  5  4       -151.581840.6         31.220721.6
  5  5         13.397118.6         98.910539.6
  6  0         66.037285.6          0.000000.6
  6  1         65.574525.6        -19.187430.6
  6  2         72.699815.6         25.709610.6
  6  3       -121.866938.6         53.216639.6
  6  4        -35.897335.6        -64.745228.6
  6  5         13.506821.6          8.976210.6
  6  6        -64.924076.6         67.749407.6
  7  0         80.576531.6          0.000000.6
  7  1        -76.627544.6        -51.660575.6
  7  2         -8.214498.6        -17.065614.6
  7  3         56.258292.6          2.439756.6
  7  4         15.713518.6         23.596406.6
  7  5          6.540202.6         -1.814239.6
  7  6         -7.005290.6        -27.222937.6
  7  7          9.576940.6         -1.828621.6
  8  0         23.643282.6          0.000000.6
  8  1          9.669516.6          8.468956.6
  8  2        -17.488911.6        -15.443835.6
  8  3         -0.584921.6         12.851920.6
  8  4        -20.992981.6        -11.905824.6
  8  5         15.172741.6         15.043453.6
  8  6         13.564645.6          3.701689.6
  8  7        -16.540293.6         -7.015781.6
  8  8         -0.447377.6          2.787442.6
  9  0          5.096840.6          0.000000.6
  9  1          8.417199.6        -23.427684.6
  9  2          2.805023.6         10.978984.6
  9  3         -1.531906.6          9.982799.6
  9  4         -1.063078.6         -5.234617.6
  9  5        -13.205505.6         -6.295194.6
  9  6          1.033450.6          7.794873.6
  9  7          8.847084.6          0.488750.6
  9  8         -9.250603.6         -1.614573.6
  9  9        -11.795671.6          9.564900.6
 10  0         -2.004223.6          0.000000.6
 10  1         -6.239423.6          3.438322.6
 10  2         -0.113879.6         -0.182949.6
 10  3          1.678127.6          3.584202.6
 10  4         -0.866282.6          4.797212.6
 10  5          0.700207.6         -8.581321.6
 10  6         -0.880467.6         -0.103176.6
 10  7          1.905178.6         -4.270000.6
 10  8          1.440645.6         -3.422380.6
 10  9         -2.344204.6         -0.150381.6
 10 10         -3.837084.6         -8.763333.6
 11  0          2.971404.6          0.000000.6
 11  1         -1.362289.6         -0.040722.6
 11  2         -2.558255.6          2.483939.6
 11  3          2.298939.6         -0.520983.6
 11  4         -0.901805.6         -0.410093.6
 11  5          0.288688.6          0.645707.6
 11  6         -0.678386.6         -0.223127.6
 11  7         -0.095483.6         -1.687906.6
 11  8          1.462423.6         -1.594503.6
 11  9         -0.627693.6         -2.996789.6
 11 10          0.192464.6         -1.959419.6
 11 11          3.109728.6         -2.588349.6
 12  0         -2.046123.6          0.000000.6
 12  1         -0.148074.6         -1.153291.6
 12  2          0.459870.6          0.489535.6
 12  3          1.314875.6          1.378541.6
 12  4         -1.142263.6         -1.837537.6
 12  5          0.708042.6          0.067656.6
 12  6          0.279583.6          0.721911.6
 12  7          0.483608.6         -0.157105.6
 12  8         -0.284077.6          0.542318.6
 12  9         -0.481552.6          0.151582.6
 12 10          0.126289.6         -0.940972.6
 12 11         -1.128903.6         -0.067813.6
 12 12         -0.286575.6          0.550165.6
 13  0          0.095505.6          0.000000.6
 13  1         -0.935829.6         -0.940596.6
 13  2          0.529235.6          0.651145.6
 13  3          0.760326.6          1.413238.6
 13  4         -0.324297.6         -0.392186.6
 13  5          0.796095.6         -1.321651.6
 13  6         -0.014275.6         -0.097474.6
 13  7          0.793751.6          0.284386.6
 13  8         -0.056716.6         -0.117068.6
 13  9          0.384835.6          0.474578.6
 13 10          0.132040.6          0.518339.6
 13 11          0.482716.6         -0.384100.6
 13 12         -0.475302.6         -0.356358.6
 13 13         -0.421251.6         -0.609228.6
 14  0         -0.326179.6          0.000000.6
 14  1          0.278628.6          0.453783.6
 14  2         -0.270418.6         -0.609398.6
 14  3         -0.122283.6          0.387080.6
 14  4         -0.063929.6          0.556495.6
 14  5          0.242014.6         -0.132648.6
 14  6          0.035111.6          0.330907.6
 14  7         -0.119470.6          0.434363.6
 14  8          0.302794.6          0.000873.6
 14  9          0.063418.6          0.397073.6
 14 10          0.645485.6         -0.039328.6
 14 11         -0.227934.6          0.268556.6
 14 12          0.375966.6         -0.140076.6
 14 13          0.190442.6         -0.302170.6
 14 14         -0.246765.6         -0.305652.6
 15  0          0.178405.6          0.000000.6
 15  1          0.484846.6          0.567278.6
 15  2          0.023712.6          0.041994.6
 15  3          0.416857.6          0.243838.6
 15  4         -0.249712.6          0.073620.6
 15  5          0.126989.6          0.053450.6
 15  6         -0.084096.6          0.127928.6
 15  7         -0.063890.6          0.272983.6
 15  8          0.074805.6         -0.140208.6
 15  9         -0.262140.6          0.117916.6
 15 10         -0.165241.6          0.036543.6
 15 11          0.193156.6         -0.175197.6
 15 12         -0.013624.6         -0.219459.6
 15 13         -0.014705.6          0.013725.6
 15 14          0.149136.6         -0.101695.6
 15 15         -0.451923.6          0.021203.6
 16  0         -0.096833.6          0.000000.6
 16  1          0.101064.6          0.325842.6
 16  2         -0.352547.6          0.126055.6
 16  3          0.112356.6          0.284713.6
 16  4         -0.062970.6         -0.075653.6
 16  5         -0.005756.6         -0.157820.6
 16  6          0.069816.6         -0.017368.6
 16  7         -0.013789.6         -0.083195.6
 16  8          0.210426.6          0.026554.6
 16  9         -0.216648.6          0.025678.6
 16 10          0.199963.6         -0.090283.6
 16 11          0.213962.6         -0.044285.6
 16 12         -0.066290.6         -0.119384.6
 16 13         -0.158030.6         -0.097732.6
 16 14         -0.013429.6          0.161958.6
 16 15         -0.031301.6         -0.015591.6
 16 16         -0.150444.6         -0.047512.6
 17  0         -0.033787.6          0.000000.6
 17  1          0.001087.6          0.123799.6
 17  2         -0.065175.6         -0.249246.6
 17  3          0.309799.6         -0.025448.6
 17  4          0.204136.6         -0.076117.6
 17  5          0.015261.6         -0.239498.6
 17  6          0.031533.6         -0.027271.6
 17  7         -0.056020.6         -0.295636.6
 17  8          0.147885.6          0.017575.6
 17  9          0.098067.6         -0.046260.6
 17 10          0.007326.6         -0.046641.6
 17 11         -0.136129.6          0.118131.6
 17 12         -0.115175.6          0.103511.6
 17 13         -0.014248.6         -0.040114.6
 17 14          0.004646.6         -0.028944.6
 17 15          0.070392.6          0.076130.6
 17 16          0.009777.6         -0.329327.6
 17 17         -0.149322.6          0.042478.6
 18  0          0.234313.6          0.000000.6
 18  1          0.093030.6          0.040988.6
 18  2          0.009331.6          0.132228.6
