,g/h,l,m,res_lon[deg],dg[nT],g[nT],loncN[deg],latcN[deg],loncS[deg],latcS[deg],G_N_centroid[deg/nT],G_S_centroid[deg/nT],G_N_centroid_lon[deg/nT],G_S_centroid_lon[deg/nT],G_N_centroid_lat[deg/nT],G_S_centroid_lat[deg/nT]
12,g,2.0,2.0,0.5,-74.6754955373144,1602.3245044626856,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0004990691406198733,-0.0003980425318531039,-0.0004988481069895613,0.0003914578032162171,-0.00012511559620900328,-0.00013549614295210732
13,g,2.0,2.0,0.5,74.6754955373144,1751.6754955373144,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0004966775572360415,0.0003970273763241793,-0.0004964576765762032,0.00039036896207619566,-0.00012516859636778783,-0.00013596028940912751
14,h,2.0,2.0,0.5,-74.6754955373144,-809.2754955373144,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0011005457948924401,-0.0005666527445310108,0.0011005265057080283,-0.000564186332160151,-5.5375542838491095e-05,-9.914826125356181e-05
15,h,2.0,2.0,0.5,74.6754955373144,-659.9245044626856,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0010998690310023284,0.0005687634455038468,0.0010998490810716487,-0.00056630161429224,-5.5625601753639285e-05,-9.935738269082521e-05
16,g,3.0,0.0,0.5,-100.42668913806658,1262.7733108619334,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.00014880364165932073,-0.00024648985918253904,0.00014803015966580497,-0.00016813948073190856,-0.00012813590198813737,0.0003384966742739057
17,g,3.0,0.0,0.5,100.42668913806658,1463.6266891380667,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.00015158647092336635,0.00024747442884459424,0.00015083207769770306,-0.00016960220164688152,-0.00012744946533651405,0.00033861600629818926
18,g,3.0,1.0,0.5,-100.42668913806658,-2481.6266891380665,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.005362793373727131,-0.002010690267493473,-0.005362786413445597,-0.002003843748600717,7.026942010446977e-05,-0.0003105628548777187
19,g,3.0,1.0,0.5,100.42668913806658,-2280.773310861933,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.005377307899031538,0.0020166327570080873,-0.005377302941149943,-0.0020099900847022757,6.427644483333569e-05,-0.00030808341195415765
20,h,3.0,1.0,0.5,-100.42668913806658,-182.52668913806656,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.000500663163744289,-0.0012330403052129215,-0.0004975894933575579,-0.0012136841859081509,-0.0004662105608828175,0.000408107198396083
21,h,3.0,1.0,0.5,100.42668913806658,18.326689138066584,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0004951445024271033,0.0012264239688107013,-0.0004920637350675052,-0.0012069670158354085,-0.0004675482832778695,0.00040943126313289067
22,g,3.0,2.0,0.5,-100.42668913806658,1135.7733108619334,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.00041691947786993175,-0.00038870340277858344,-0.00041675499520439966,-0.0003832047027966681,-9.861610502958989e-05,0.0001223169404928594
23,g,3.0,2.0,0.5,100.42668913806658,1336.6266891380667,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0004148514538221085,0.00038959811184180297,-0.0004146896950616084,-0.00038424447246987274,-9.815146674963752e-05,0.00012097319635149417
24,h,3.0,2.0,0.5,-100.42668913806658,141.47331086193344,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0010424162055044101,-0.0005524713194466629,0.0010424012282569718,0.0005496247318524663,-4.756855053776502e-05,0.0001052956787207324
25,h,3.0,2.0,0.5,100.42668913806658,342.32668913806657,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0010413851139392928,0.0005509881908966286,0.0010413697861832844,0.0005481683789971832,-4.736693692830511e-05,0.00010449944071584567
26,g,3.0,3.0,0.5,-100.42668913806658,425.27331086193345,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.00011149966640581195,-3.950587883295041e-05,0.00011149789805074924,3.931406735173683e-05,-5.3088088595039346e-06,7.304402209891244e-06
27,g,3.0,3.0,0.5,100.42668913806658,626.1266891380666,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.00011165759355725636,3.920604884988239e-05,0.00011165582031150603,3.901665882423238e-05,-5.3112250942049056e-06,7.22980652575023e-06
28,h,3.0,3.0,0.5,-100.42668913806658,-643.8266891380665,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-4.2020229293095315e-05,-2.53582198903031e-05,4.200374518717178e-05,2.5084758449550884e-05,9.944560120441168e-06,-6.977029299545255e-06
29,h,3.0,3.0,0.5,100.42668913806658,-442.9733108619334,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,4.222254074340233e-05,2.5063942566667665e-05,4.220610305875548e-05,2.4780033940636607e-05,9.94818465482151e-06,-7.066195720791652e-06
30,g,4.0,0.0,0.5,-135.05795734819398,767.942042651806,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0002267933803133019,-0.00020828027653013544,0.00022669694786922733,0.00017791785284551482,-5.5986981160141485e-05,-0.00020348094846222775
31,g,4.0,0.0,0.5,135.05795734819398,1038.057957348194,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0002316526602532273,0.00020756045954639375,0.0002315683069789019,0.00017619815090745875,-5.2682830107257924e-05,-0.00020601331849322044
32,g,4.0,1.0,0.5,-135.05795734819398,674.442042651806,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.002960472094990071,-0.0010316648339352933,-0.002960467686825869,0.0010271635427743866,4.194603321983115e-05,0.00018118502492001133
33,g,4.0,1.0,0.5,135.05795734819398,944.557957348194,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0029671060533806785,0.0010388730043129838,-0.002967102794316272,0.0010341651613789652,3.828912153834534e-05,0.00018521685352738116
34,h,4.0,1.0,0.5,-135.05795734819398,146.842042651806,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0001308601190943178,-0.0005636198816297665,-0.00012970779186917956,0.0005545241819602394,-0.0001461867899559843,-0.00018963760414563298
35,h,4.0,1.0,0.5,135.05795734819398,416.957957348194,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.00013525942243303976,0.0005579000935552595,-0.00013407843514803098,0.0005490648150392828,-0.00015085638149710522,-0.00018558218900719794
36,g,4.0,2.0,0.5,-135.05795734819398,-48.75795734819398,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0003021600231694564,-0.0001501148446484356,-0.00030210676243624566,0.00014347709677934784,-4.777938772437622e-05,-8.294779315816301e-05
37,g,4.0,2.0,0.5,135.05795734819398,221.35795734819396,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0003019727264028578,0.00014805355703952143,-0.0003019223121806489,0.0001408927901726125,-4.6749139350452465e-05,-8.542388285813923e-05
38,h,4.0,2.0,0.5,-135.05795734819398,-293.457957348194,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0007855128063519841,-0.0004336540934577272,0.0007855006698839665,-0.00043242721827003436,-3.717500775810641e-05,-6.11833810212438e-05
39,h,4.0,2.0,0.5,135.05795734819398,-23.342042651806025,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0007841282349567835,0.00043168029105293386,0.0007841163819001138,-0.000430401657774529,-3.614079955275052e-05,-6.241709247827533e-05
40,g,4.0,3.0,0.5,-135.05795734819398,-444.457957348194,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.00014445251327458756,-7.746672110251157e-05,0.0001444507291661758,-7.746637499472563e-05,-6.0732547987344806e-06,4.3483536248963195e-07
41,g,4.0,3.0,0.5,135.05795734819398,-174.342042651806,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0001448318275976745,7.791230654732554e-05,0.0001448301723553051,-7.791229635771939e-05,-5.840828128903612e-06,-7.495959928061461e-08
42,h,4.0,3.0,0.5,-135.05795734819398,64.64204265180601,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-4.4141887395671956e-05,-2.0426507374603053e-05,4.41318230195663e-05,1.9346280599906663e-05,7.965476251643774e-06,1.2313227201133132e-05
43,h,4.0,3.0,0.5,135.05795734819398,334.75795734819394,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,4.460736690529614e-05,1.978885925616063e-05,4.459677378891577e-05,1.8780740218052495e-05,8.207887272620816e-06,1.1713013859252082e-05
44,g,4.0,4.0,0.5,-135.05795734819398,-87.05795734819398,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-5.731192605202501e-06,-7.426324333516473e-06,5.729757359789338e-06,7.386670190133311e-06,1.083725651420467e-06,1.4397555465902302e-06
45,g,4.0,4.0,0.5,135.05795734819398,183.05795734819398,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,5.7724860067084665e-06,7.3604988508026805e-06,5.771046159234054e-06,7.322063316472368e-06,1.0886220685217177e-06,1.4111004982246988e-06
46,h,4.0,4.0,0.5,-135.05795734819398,-484.75795734819394,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-1.7345545303068654e-05,-1.0031304558791363e-05,-1.7345326238993113e-05,9.994781254255448e-06,7.350718364417018e-07,-1.6065476408388248e-06
47,h,4.0,4.0,0.5,135.05795734819398,-214.642042651806,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,1.7306488820268636e-05,9.968345626111507e-06,-1.7306268759198144e-05,9.93031214684511e-06,7.397060181668397e-07,-1.6341071210604515e-06
48,g,5.0,0.0,0.5,-181.6315164785463,-415.9315164785463,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.00029385175343931016,-0.00016182229221751933,0.0002937980412024542,-0.0001609733081773647,4.764475436818501e-05,3.108443917516856e-05
49,g,5.0,0.0,0.5,181.6315164785463,-52.66848352145371,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.00029968361972196555,0.00016359751293767858,0.0002996143020127648,-0.00016300312856769,5.42295897730819e-05,2.6183415466981236e-05
50,g,5.0,1.0,0.5,-181.6315164785463,181.5684835214537,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0008075858486064965,-0.0002587647311029236,-0.0008075828119262983,-0.00025205874056650053,1.85101832155113e-05,-0.00010987446495564809
51,g,5.0,1.0,0.5,181.6315164785463,544.8315164785463,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0008039332707461106,0.00023951226336654805,-0.0008039311570088631,-0.0002330960173090932,1.5741965508688625e-05,-0.00010350279740096894
52,h,5.0,1.0,0.5,-181.6315164785463,-133.9315164785463,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0001694969001252208,-3.473044841493478e-05,0.0001689555362435594,-1.788717639267697e-05,0.00011460067085791148,5.591970133452843e-05
53,h,5.0,1.0,0.5,181.6315164785463,229.3315164785463,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.00016245647881256127,4.7837824150481844e-05,0.00016196623948319574,-3.454480045137363e-05,0.00010630225395133671,6.216888695572294e-05
54,g,5.0,2.0,0.5,-181.6315164785463,6.168483521453709,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0001330001096946464,-0.00027666654441592945,-0.00013296536539224492,0.0002761064827992736,2.563326634295514e-05,3.3074964798304605e-05
55,g,5.0,2.0,0.5,181.6315164785463,369.4315164785463,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.00013727662262512946,0.0002701700326622769,-0.00013724161469565603,0.00026967986963279486,2.6234842163864104e-05,3.053637101780012e-05
56,h,5.0,2.0,0.5,-181.6315164785463,26.66848352145371,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0003237846915693168,-0.0002185013370991979,0.00032377521815057665,0.0002184280916893775,-2.1012974654095626e-05,-1.0632627820087658e-05
57,h,5.0,2.0,0.5,181.6315164785463,389.9315164785463,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0003216944199004453,0.00022772840364555674,0.0003216861188798054,0.00022765399809292124,-1.943861381137595e-05,-1.0928168796848424e-05
58,g,5.0,3.0,0.5,-181.6315164785463,-322.3315164785463,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-9.82532101442824e-05,-0.0001174650936248344,9.82518331550602e-05,0.00011658229295862576,-4.399777573869558e-06,-2.7009495174806288e-05
59,g,5.0,3.0,0.5,181.6315164785463,40.931516478546314,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,9.889740152546755e-05,0.00011766456125558639,9.889659251292151e-05,0.00011668112310539166,-3.3746043266357004e-06,-2.85088622884505e-05
60,h,5.0,3.0,0.5,-181.6315164785463,-302.8315164785463,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-1.9275418118865774e-05,-0.00016095018045533496,1.926205983187353e-05,-0.00016076882468391864,-6.062369923652472e-06,-1.4342795138138093e-05
